capcode,discipline,region,location,description,remark
000100000,Brandweer,Amsterdam-Amstelland,,Proefalarm,
000100001,Brandweer,Amsterdam-Amstelland,Aalsmeer,Bevelvoerders,
000100004,Brandweer,Amsterdam-Amstelland,Aalsmeer,Korpsalarm,
000100005,Brandweer,Amsterdam-Amstelland,Aalsmeer,Officier van Dienst Aalsmeer/UitHoorn,
000100007,Brandweer,Amsterdam-Amstelland,Aalsmeer,Chauffeurs,
000100010,Brandweer,Amsterdam-Amstelland,Aalsmeer,Tankautospuit-611,
000100011,Brandweer,Amsterdam-Amstelland,Aalsmeer,Tankautospuit-612,
000100012,Brandweer,Amsterdam-Amstelland,Aalsmeer,Hulpverleningsvoertuig-680,
000100013,Brandweer,Amsterdam-Amstelland,Aalsmeer,Brandweervaartuig-672,
000100014,Brandweer,Amsterdam-Amstelland,Aalsmeer,Dienstbus-666,
000100016,Brandweer,Amsterdam-Amstelland,Aalsmeer,Dompelpomphaakarmbak-935,
000100018,Brandweer,Amsterdam-Amstelland,Aalsmeer,Schuimblusaanhanger-670,
000100019,Brandweer,Amsterdam-Amstelland,Aalsmeer,Lichtkrant Kazerne,
000100100,Brandweer,Amsterdam-Amstelland,Amstelveen,Blusgroep 1,
000100102,Brandweer,Amsterdam-Amstelland,Amstelveen,Blusgroep 2,
000100104,Brandweer,Amsterdam-Amstelland,,OvD Zuid - spoed,
000100105,Brandweer,Amsterdam-Amstelland,,OvD Zuid,
000100106,Brandweer,Amsterdam-Amstelland,Amstelveen,Bevelvoerder van Dienst,BvD
000100108,Brandweer,Amsterdam-Amstelland,Amstelveen,Blusgroep 3,
000100115,Brandweer,Amsterdam-Amstelland,Amstelveen,Bemanning Tankautospuit / Waterongevallenvoertuig,
000100116,Brandweer,Amsterdam-Amstelland,Amstelveen,Springbemanning,
000100119,Brandweer,Amsterdam-Amstelland,Amstelveen,Lichtkrant Kazerne,
000100200,Brandweer,Amsterdam-Amstelland,Amstelveen,BvD Beroeps,
000100201,Brandweer,Amsterdam-Amstelland,Amstelveen,TS/WO,
000100219,Brandweer,Amsterdam-Amstelland,Amstelveen,Lichtkrant Beroeps,
000100269,Brandweer,Amsterdam-Amstelland,Amsterdam-Anton,Kazernealarm,
000100350,Brandweer,Amsterdam-Amstelland,Amsterdam-Dirk,TS,
000100351,Brandweer,Amsterdam-Amstelland,Amsterdam-Dirk,AL,
000100369,Brandweer,Amsterdam-Amstelland,Amsterdam-Dirk,Lichtkrant,
000100400,Brandweer,Amsterdam-Amstelland,Amsterdam-Maxima,Blusgroep,
000100403,Brandweer,Amsterdam-Amstelland,Amsterdam-Maxima,Postcommandant,
000100419,Brandweer,Amsterdam-Amstelland,Amsterdam-Maxima,Lichtkrant kazerne,
000100500,Brandweer,Amsterdam-Amstelland,Amsterdam-Hendrik,TS,
000100501,Brandweer,Amsterdam-Amstelland,Amsterdam-Hendrik,AL,
000100519,Brandweer,Amsterdam-Amstelland,Amsterdam-Hendrik,Kazernealarm,
000100550,Brandweer,Amsterdam-Amstelland,Landelijk Noord,Blusgroep,
000100553,Brandweer,Amsterdam-Amstelland,Landelijk Noord,Bevelvoerders,
000100569,Brandweer,Amsterdam-Amstelland,Landelijk Noord,Lichtkrant Kazerne,
000100600,Brandweer,Amsterdam-Amstelland,,ASA,
000100669,Brandweer,Amsterdam-Amstelland,Amsterdam-Osdorp,Kazernealarm,
000100719,Brandweer,Amsterdam-Amstelland,Amsterdam-IJsbrand,Kazernealarm,
000100759,Brandweer,Amsterdam-Amstelland,,Piket AC,
000100763,Brandweer,Amsterdam-Amstelland,,Officier Informatie en Opschaling,
000100769,Brandweer,Amsterdam-Amstelland,Amsterdam-Nico,Kazernealarm,
000100869,Brandweer,Amsterdam-Amstelland,Amsterdam-Pieter,Kazernealarm,
000100919,Brandweer,Amsterdam-Amstelland,Amsterdam-Rudolf,Kazernealarm,
000100950,Brandweer,Amsterdam-Amstelland,Amsterdam-Teunis,Hulpverleningsvoertuig-577 `,
000100969,Brandweer,Amsterdam-Amstelland,Amsterdam-Teunis,Lichtkrant kazerne,
000101019,Brandweer,Amsterdam-Amstelland,Amsterdam-Victor,Kazernealarm,
000101056,Brandweer,Amsterdam-Amstelland,,Meetplanleider,
000101058,Brandweer,Amsterdam-Amstelland,,HOvD,
000101059,Brandweer,Amsterdam-Amstelland,,Voorlichting,
000101069,Brandweer,Amsterdam-Amstelland,,ROvD,
000101111,Brandweer,Amsterdam-Amstelland,,Adviseur Gevaarlijke Stoffen,AA AGS1
000101115,Brandweer,Amsterdam-Amstelland,,TBO,
000101204,Brandweer,Amsterdam-Amstelland,,OvD Noord - spoed,
000101205,Brandweer,Amsterdam-Amstelland,,OvD Noord,
000101208,Brandweer,Amsterdam-Amstelland,Amsterdam-Willem,Ademluchtvoertuig,
000101209,Brandweer,Amsterdam-Amstelland,Amsterdam-Willem,Ademluchtvoertuig,
000101218,Brandweer,Amsterdam-Amstelland,Amsterdam-Willem,Waterongevallenvoertuig,
000101219,Brandweer,Amsterdam-Amstelland,Amsterdam-Willem,Kazernealarm,
000101269,Brandweer,Amsterdam-Amstelland,Amsterdam-Zebra,Kazernealarm,
000101304,Brandweer,Amsterdam-Amstelland,,Staffunctionaris Logistiek en Bevoorrading,
000101400,Brandweer,Amsterdam-Amstelland,Diemen,Blusgroep 1,
000101402,Brandweer,Amsterdam-Amstelland,Diemen,Blusgroep 2,
000101407,Brandweer,Amsterdam-Amstelland,Diemen,Postcommandant,
000101419,Brandweer,Amsterdam-Amstelland,Diemen,Lichtkrant Kazerne,
000101500,Brandweer,Amsterdam-Amstelland,Badhoevedorp,Blusgroep,
000102007,Brandweer,Amsterdam-Amstelland,,OvD Zuid Alarmcode,
000102011,Brandweer,Amsterdam-Amstelland,Amsterdam,Infocode middel Incident,
000102021,Brandweer,Amsterdam-Amstelland,,OvD-Meldkamer Alarmcode,
000102030,Brandweer,Amsterdam-Amstelland,Diemen,Infocode klein incident,
000102091,Brandweer,Amsterdam-Amstelland,,Infocode middel Incident,
000102100,Brandweer,Amsterdam-Amstelland,Ouderkerk a/d Amstel,Blusgroep,
000102102,Brandweer,Amsterdam-Amstelland,Ouderkerk a/d Amstel,Officier van Dienst,
000102118,Brandweer,Amsterdam-Amstelland,Ouderkerk a/d Amstel,Postcommandant,
000102119,Brandweer,Amsterdam-Amstelland,Ouderkerk a/d Amstel,Lichtkrant Kazerne,
000102200,Brandweer,Amsterdam-Amstelland,Duivendrecht,Blusgroep,
000102219,Brandweer,Amsterdam-Amstelland,Duivendrecht,Lichtkrant Kazerne,
000102303,Brandweer,Amsterdam-Amstelland,Uithoorn,Bevelvoerder van Dienst,
000102304,Brandweer,Amsterdam-Amstelland,Uithoorn,Korpsalarm,
000102311,Brandweer,Amsterdam-Amstelland,Uithoorn,Tankautospuit-622,
000102312,Brandweer,Amsterdam-Amstelland,Uithoorn,Hulpverleningsvoertuig-682,
000102315,Brandweer,Amsterdam-Amstelland,Uithoorn,Tankautospuit-621,
000102319,Brandweer,Amsterdam-Amstelland,Uithoorn,Lichtkrant Kazerne,
000102653,Brandweer,Amsterdam-Amstelland,,Hoofd Sectie Brandweer Operationeel Team,
000102661,Brandweer,Amsterdam-Amstelland,,Coördinator Copi,
000102662,Brandweer,Amsterdam-Amstelland,,Milieudienst Amsterdam,
000102998,Brandweer,Amsterdam-Amstelland,,Monitorcode,
000103000,Brandweer,Zaanstreek-Waterland,RBZW,Regionaal Proefalarm RBZW,
000103003,Brandweer,Zaanstreek-Waterland,Krommenie,Decontaminatieploeg,
000103004,Brandweer,Zaanstreek-Waterland,Oosthuizen,Ontsmettingsploeg,
000103005,Brandweer,Zaanstreek-Waterland,Den Ilp,Ontsmettingsploeg,
000103006,Brandweer,Zaanstreek-Waterland,Purmerend,Ontsmettingsploeg,
000103007,Brandweer,Zaanstreek-Waterland,Krommenie,Ontsmettingsploeg,
000103008,Brandweer,Zaanstreek-Waterland,Zaandijk,Ontsmettingsploeg,
000103009,Brandweer,Zaanstreek-Waterland,RBZW,LMPO,
000103010,Brandweer,Zaanstreek-Waterland,RBZW,LFO (Landelijke Faciliteit ondersteuning bij Ontmantelen),
000103011,Brandweer,Zaanstreek-Waterland,RBZW,ROGS RBZW,
000103012,Brandweer,Zaanstreek-Waterland,Assendelft,OGS,
000103013,Brandweer,Zaanstreek-Waterland,Wormerveer,OGS ploeg,
000103014,Brandweer,Zaanstreek-Waterland,Zaandam,OGS ploeg,
000103015,Brandweer,Zaanstreek-Waterland,Landsmeer,WVD ploeg 57W001,
000103016,Brandweer,Zaanstreek-Waterland,Edam,WVD ploeg 57W002,
000103017,Brandweer,Zaanstreek-Waterland,Purmerend,WVD ploeg 57W003,
000103018,Brandweer,Zaanstreek-Waterland,Krommenie,WVD ploeg 58W004,
000103019,Brandweer,Zaanstreek-Waterland,Oostzaan,WVD ploeg 58W005,
000103020,Brandweer,Zaanstreek-Waterland,Zaandam,WVD ploeg 58W006,
000103021,Brandweer,Zaanstreek-Waterland,Zaanstad,Duikers dagdienst,
000103022,Brandweer,Zaanstreek-Waterland,Assendelft,Duikers,
000103023,Brandweer,Zaanstreek-Waterland,Wormerveer,Duikers,
000103024,Brandweer,Zaanstreek-Waterland,Zaandam,Duikers,
000103025,Brandweer,Zaanstreek-Waterland,RBZW,Duikadviseur RBZW,
000103026,Brandweer,Zaanstreek-Waterland,Wormer,Verbindingsgroep,
000103028,Brandweer,Zaanstreek-Waterland,RBZW,Plotters RBZW,
000103029,Brandweer,Zaanstreek-Waterland,RBZW,Piketofficier alarmcentrale RBZW,
000103031,Brandweer,Zaanstreek-Waterland,Krommenie,Haakarmchauffeur,
000103032,Brandweer,Zaanstreek-Waterland,Zaandam,Haakarmchauffeur Houtveldweg,
000103033,Brandweer,Zaanstreek-Waterland,Zaandam,Haakarmchauffeur Botenmakersstraat,
000103034,Brandweer,Zaanstreek-Waterland,Wormer,Haakarmchauffeur,
000103035,Brandweer,Zaanstreek-Waterland,Oosthuizen,Haakarmchauffeur,
000103036,Brandweer,Zaanstreek-Waterland,Volendam,Haakarmchauffeur,
000103037,Brandweer,Zaanstreek-Waterland,Purmerend,Haakarmchauffeur,
000103039,Brandweer,Zaanstreek-Waterland,Zaandam,HV ploeg Zaandam,
000103040,Brandweer,Zaanstreek-Waterland,Wormerveer,HV ploeg,
000103041,Brandweer,Zaanstreek-Waterland,Assendelft,HV ploeg,
000103042,Brandweer,Zaanstreek-Waterland,Edam,HV ploeg,
000103044,Brandweer,Zaanstreek-Waterland,Zaandam,Hoogwerkerploeg Botenmakersstraat,
000103045,Brandweer,Zaanstreek-Waterland,Purmerend,Hoogwerkerploeg,
000103046,Brandweer,Zaanstreek-Waterland,Wormerveer,Autoladderploeg,
000103051,Brandweer,Zaanstreek-Waterland,Koog aan de Zaan,Onderhoud/Verzorgingsgroep,
000103053,Brandweer,Zaanstreek-Waterland,RBZW,Logistiek functionaris RBZW,
000103055,Brandweer,Zaanstreek-Waterland,RBZW,Regionaal Commandant RBZW,
000103056,Brandweer,Zaanstreek-Waterland,RBZW,Plv Regionaal Commandant RBZW,
000103057,Brandweer,Zaanstreek-Waterland,RBZW,Commandant van Dienst,
000103058,Brandweer,Zaanstreek-Waterland,RBZW,Officier van Dienst West 1 RBZW,
000103059,Brandweer,Zaanstreek-Waterland,RBZW,Officier van Dienst West 2 RBZW,
000103060,Brandweer,Zaanstreek-Waterland,RBZW,Officier van Dienst Noord RBZW,
000103061,Brandweer,Zaanstreek-Waterland,RBZW,Officier van Dienst Zuid RBZW,
000103062,Brandweer,Zaanstreek-Waterland,RBZW,Hoofdofficier van Dienst RBZW,
000103063,Brandweer,Zaanstreek-Waterland,Krommenie,Ventilatorploeg,
000103064,Brandweer,Zaanstreek-Waterland,Zaandijk,Ventilatorploeg,
000103065,Brandweer,Zaanstreek-Waterland,RBZW,Compagniescommandant Zaanstreek RBZW,
000103066,Brandweer,Zaanstreek-Waterland,RBZW,Pelotonscommandant 100 RBZW,
000103067,Brandweer,Zaanstreek-Waterland,RBZW,Pelotonscommandant 200 RBZW,
000103068,Brandweer,Zaanstreek-Waterland,RBZW,Commandant Uitgangsstelling RBZW,
000103070,Brandweer,Zaanstreek-Waterland,,MDT 0290 - OvD West,
000103071,Brandweer,Zaanstreek-Waterland,RBZW,Compagniescommandant Waterland RBZW,
000103071,Brandweer,Zaanstreek-Waterland,,MDT 0291 - OvD Oost,
000103072,Brandweer,Zaanstreek-Waterland,RBZW,Pelotonscommandant 100 RBZW,
000103072,Brandweer,Zaanstreek-Waterland,,MDT 0292 - OvD,
000103073,Brandweer,Zaanstreek-Waterland,RBZW,Pelotonscommandant 200 RBZW,
000103073,Brandweer,Zaanstreek-Waterland,,MDT 0220 - ROGS,
000103074,Brandweer,Zaanstreek-Waterland,RBZW,Commandant Uitgangsstelling RBZW,
000103100,Brandweer,Zaanstreek-Waterland,Oosthuizen,Blusploeg,
000103105,Brandweer,Zaanstreek-Waterland,Oosthuizen,Lichtkrant,
000103107,Brandweer,Zaanstreek-Waterland,Kwadijk,Blusploeg,
000103112,Brandweer,Zaanstreek-Waterland,Kwadijk,Lichtkrant,
000103114,Brandweer,Zaanstreek-Waterland,Zeevang,Commandant,
000103115,Brandweer,Zaanstreek-Waterland,Zeevang,Plv.Commandant,
000103165,Brandweer,Zaanstreek-Waterland,Middenbeemster,Blusploeg,
000103166,Brandweer,Zaanstreek-Waterland,Beemster,Lichtkrant,
000103169,Brandweer,Zaanstreek-Waterland,Zuidoostbeemster,Blusploeg,
000103174,Brandweer,Zaanstreek-Waterland,Beemster,Commandant,
000103175,Brandweer,Zaanstreek-Waterland,Beemster,Plv commandant,
000103230,Brandweer,Zaanstreek-Waterland,Edam,Blusploeg,
000103231,Brandweer,Zaanstreek-Waterland,Edam,Lichtkrant,
000103237,Brandweer,Zaanstreek-Waterland,Edam,Postcommandant,
000103239,Brandweer,Zaanstreek-Waterland,Volendam,Blusploeg,
000103240,Brandweer,Zaanstreek-Waterland,Volendam,Lichtkrant,
000103246,Brandweer,Zaanstreek-Waterland,Volendam,Postcommandant,
000103248,Brandweer,Zaanstreek-Waterland,Edam-Volendam,Bevelvoerder van dienst,
000103249,Brandweer,Zaanstreek-Waterland,Edam-Volendam,Commandant,
000103250,Brandweer,Zaanstreek-Waterland,Edam-Volendam,Plv. Commandant,
000103330,Brandweer,Zaanstreek-Waterland,Monnickendam,Blusploeg 1,
000103331,Brandweer,Zaanstreek-Waterland,Monnickendam,Blusploeg 2,
000103332,Brandweer,Zaanstreek-Waterland,Monnickendam,Bevelvoerder van dienst,
000103333,Brandweer,Zaanstreek-Waterland,Monnickendam,Lichtkrant,
000103336,Brandweer,Zaanstreek-Waterland,Monnickendam,Postcommandant,
000103338,Brandweer,Zaanstreek-Waterland,Marken,Blusploeg 1,
000103339,Brandweer,Zaanstreek-Waterland,Marken,Blusploeg 2,
000103340,Brandweer,Zaanstreek-Waterland,Marken,Bevelvoerder van Dienst,
000103341,Brandweer,Zaanstreek-Waterland,Marken,Lichtkrant,
000103344,Brandweer,Zaanstreek-Waterland,Marken,Postcommandant,
000103346,Brandweer,Zaanstreek-Waterland,Broek in Waterland,Blusploeg 1,
000103347,Brandweer,Zaanstreek-Waterland,Broek in Waterland,Blusploeg 2,
000103348,Brandweer,Zaanstreek-Waterland,Broek in Waterland,Bevelvoerder van dienst,
000103349,Brandweer,Zaanstreek-Waterland,Broek in Waterland,Lichtkrant,
000103352,Brandweer,Zaanstreek-Waterland,Broek in Waterland,Postcommandant,
000103354,Brandweer,Zaanstreek-Waterland,Ilpendam,Blusploeg 1,
000103355,Brandweer,Zaanstreek-Waterland,Ilpendam,Blusploeg 2,
000103356,Brandweer,Zaanstreek-Waterland,Ilpendam,Bevelvoerder van Dienst,
000103357,Brandweer,Zaanstreek-Waterland,Ilpendam,Lichtkrant,
000103360,Brandweer,Zaanstreek-Waterland,Ilpendam,Postcommandant,
000103362,Brandweer,Zaanstreek-Waterland,Waterland,Commandant,
000103363,Brandweer,Zaanstreek-Waterland,Waterland,Plv. Commandant,
000103366,Brandweer,Zaanstreek-Waterland,Marken,Reddingsboot Marken,
000103470,Brandweer,Zaanstreek-Waterland,Landsmeer,Blusploeg 1,
000103471,Brandweer,Zaanstreek-Waterland,Landsmeer,Blusploeg 2,
000103473,Brandweer,Zaanstreek-Waterland,Landsmeer,Techniek,
000103476,Brandweer,Zaanstreek-Waterland,Den Ilp,Blusploeg 1,
000103477,Brandweer,Zaanstreek-Waterland,Den Ilp,Blusploeg 2,
000103482,Brandweer,Zaanstreek-Waterland,Landsmeer,Commandant,
000103483,Brandweer,Zaanstreek-Waterland,Landsmeer,Plv Commandant,
000103540,Brandweer,Zaanstreek-Waterland,Purmerend,Duikploeg 1,
000103541,Brandweer,Zaanstreek-Waterland,Purmerend,Duikploeg 2,
000103542,Brandweer,Zaanstreek-Waterland,Purmerend,Duikploeg 3,
000103543,Brandweer,Zaanstreek-Waterland,Purmerend,Duikploeg 4,
000103544,Brandweer,Zaanstreek-Waterland,Purmerend,Kazernealarm duiken,
000103546,Brandweer,Zaanstreek-Waterland,Purmerend,Blusploeg 1a,
000103547,Brandweer,Zaanstreek-Waterland,Purmerend,Bevelvoerder 1a,
000103548,Brandweer,Zaanstreek-Waterland,Purmerend,Blusploeg 1b,
000103549,Brandweer,Zaanstreek-Waterland,Purmerend,Bevelvoerder 1b,
000103550,Brandweer,Zaanstreek-Waterland,Purmerend,Blusploeg 2a,
000103551,Brandweer,Zaanstreek-Waterland,Purmerend,Bevelvoerder 2a,
000103552,Brandweer,Zaanstreek-Waterland,Purmerend,Blusploeg 2b,
000103553,Brandweer,Zaanstreek-Waterland,Purmerend,Bevelvoerder 2b,
000103554,Brandweer,Zaanstreek-Waterland,Purmerend,Blusploeg 3a,
000103555,Brandweer,Zaanstreek-Waterland,Purmerend,Bevelvoerder 3a,
000103556,Brandweer,Zaanstreek-Waterland,Purmerend,Blusploeg 3b,
000103557,Brandweer,Zaanstreek-Waterland,Purmerend,Bevelvoerder 3b,
000103558,Brandweer,Zaanstreek-Waterland,Purmerend,Blusploeg 4a,
000103559,Brandweer,Zaanstreek-Waterland,Purmerend,Bevelvoerder 4a,
000103560,Brandweer,Zaanstreek-Waterland,Purmerend,Blusploeg 4b,
000103561,Brandweer,Zaanstreek-Waterland,Purmerend,Bevelvoerder 4b,
000103563,Brandweer,Zaanstreek-Waterland,Purmerend,Kazernealarm brand,
000103565,Brandweer,Zaanstreek-Waterland,Purmerend,Monitorcode,
000103566,Brandweer,Zaanstreek-Waterland,Purmerend,Lichtkrant,
000103568,Brandweer,Zaanstreek-Waterland,Purmerend,Commandant,
000103569,Brandweer,Zaanstreek-Waterland,Purmerend,Plv. Commandant,
000103570,Brandweer,Amsterdam-Amstelland,Purmerend,Burgemeester Purmerend,
000103572,Brandweer,Zaanstreek-Waterland,Purmerend,Technische dienst,
000103573,Brandweer,Zaanstreek-Waterland,Purmerend,Technische dienst,
000103574,Brandweer,Zaanstreek-Waterland,Purmerend,Preventie,
000103575,Brandweer,Zaanstreek-Waterland,Purmerend,Preventie,
000103576,Brandweer,Zaanstreek-Waterland,Purmerend,Perslucht,
000103577,Brandweer,Zaanstreek-Waterland,Purmerend,Perslucht,
000103578,Brandweer,Zaanstreek-Waterland,Purmerend,Perslucht,
000103579,Brandweer,Zaanstreek-Waterland,Purmerend,Perslucht,
000103680,Brandweer,Zaanstreek-Waterland,Assendelft,Blusploeg,
000103684,Brandweer,Zaanstreek-Waterland,Assendelft,Kazernecommandant,
000103740,Brandweer,Zaanstreek-Waterland,Koog aan de Zaan,Blusploeg,
000103744,Brandweer,Zaanstreek-Waterland,Koog aan de Zaan,Kazernecommandant,
000103790,Brandweer,Zaanstreek-Waterland,Krommenie,Blusploeg,
000103795,Brandweer,Zaanstreek-Waterland,Krommeniedijk,Blusploeg,
000103800,Brandweer,Zaanstreek-Waterland,Krommenie,Kazernecommandant,
000103860,Brandweer,Zaanstreek-Waterland,Westzaan Noord,Blusploeg,
000103866,Brandweer,Zaanstreek-Waterland,Westzaan Zuid,Blusploeg,
000103872,Brandweer,Zaanstreek-Waterland,Westzaan Noord,Kazernecommandant,
000103873,Brandweer,Zaanstreek-Waterland,Westzaan Zuid,Kazernecommandant,
000103925,Brandweer,Zaanstreek-Waterland,Wormerveer,Blusploeg,
000103932,Brandweer,Zaanstreek-Waterland,Wormerveer,Kazernecommandant,
000103995,Brandweer,Zaanstreek-Waterland,Zaandam,Vermiljoenweg blusploeg,
000103999,Brandweer,Zaanstreek-Waterland,Zaandam,Vermiljoenweg kazernecommandant,
000104009,Brandweer,Zaanstreek-Waterland,Zaandam,Kalf blusgroep,
000104013,Brandweer,Zaanstreek-Waterland,Zaandam,Kalf kazernecommandant,
000104110,Brandweer,Zaanstreek-Waterland,Zaandam,Botenmakersstraat blusgroep 1,
000104111,Brandweer,Zaanstreek-Waterland,Zaandam,Botenmakersstraat blusgroep 2,
000104112,Brandweer,Zaanstreek-Waterland,Zaandam,Botenmakersstraat blusgroep 3,
000104118,Brandweer,Zaanstreek-Waterland,Zaandam,Kazernecommandant Botenmakersstraat,
000104122,Brandweer,Zaanstreek-Waterland,Zaandam,Blusboot,
000104127,Brandweer,Zaanstreek-Waterland,Zaandam,Blusboot kazernecommandant,
000104130,Brandweer,Zaanstreek-Waterland,Zaandam,Houtveldweg blusgroep,
000104134,Brandweer,Zaanstreek-Waterland,Zaandam,Houtveldweg kazernecommandant,
000104136,Brandweer,Zaanstreek-Waterland,Zaandam,Houtveldweg WOA,
000104137,Brandweer,Zaanstreek-Waterland,Zaandam,Houtveldweg vrachtwagenploeg,
000104260,Brandweer,Zaanstreek-Waterland,Zaandijk,Blusgroep,
000104265,Brandweer,Zaanstreek-Waterland,Zaandijk,Kazernecommandant,
000104305,Brandweer,Zaanstreek-Waterland,Oostzaan,Noord blusgroep,
000104310,Brandweer,Zaanstreek-Waterland,Oostzaan,Zuid blusgroep,
000104315,Brandweer,Zaanstreek-Waterland,Oostzaan,Commandant,
000104316,Brandweer,Zaanstreek-Waterland,Oostzaan,Plv Commandant,
000104320,Brandweer,Zaanstreek-Waterland,Oostzaan,HV ploeg,
000104321,Brandweer,Zaanstreek-Waterland,Oostzaan,WOA ploeg,
000104375,Brandweer,Zaanstreek-Waterland,Wormer,Blusploeg 1,
000104376,Brandweer,Zaanstreek-Waterland,Wormer,Blusploeg 2,
000104377,Brandweer,Zaanstreek-Waterland,Wormer,Bevelvoerders (was groep 3),
000104380,Brandweer,Zaanstreek-Waterland,Wormer,Lichtkrant,
000104384,Brandweer,Zaanstreek-Waterland,Wormer,Kazernecommandant,
000104385,Brandweer,Zaanstreek-Waterland,Wormer,WOA ploeg dagsituatie,
000104388,Brandweer,Zaanstreek-Waterland,Jisp,Blusploeg,
000104392,Brandweer,Zaanstreek-Waterland,Jisp,Kazernecommandant,
000104393,Brandweer,Zaanstreek-Waterland,Jisp,WOA ploeg nachtsituatie,
000104396,Brandweer,Zaanstreek-Waterland,Spijkerboor,Blusploeg,
000104400,Brandweer,Zaanstreek-Waterland,Spijkerboor,Kazernecommandant,
000104403,Brandweer,Zaanstreek-Waterland,Oost-knollendam,Blusploeg,
000104407,Brandweer,Zaanstreek-Waterland,Oost-knollendam,Kazernecommandant,
000104410,Brandweer,Zaanstreek-Waterland,Wormerland,Commandant,
000104411,Brandweer,Zaanstreek-Waterland,Wormerland,Plv Commandant,
000104412,Brandweer,Zaanstreek-Waterland,Wormerland,Burgemeester,
000104413,Brandweer,Zaanstreek-Waterland,Wormerland,Fotograaf,
000104510,Brandweer,Zaanstreek-Waterland,Zaanstad,Kantoorpersoneel,
000104511,Brandweer,Zaanstreek-Waterland,Zaanstad,Commandant,
000104512,Brandweer,Zaanstreek-Waterland,Zaanstad,Plv. Commandant,
000104513,Brandweer,Zaanstreek-Waterland,Zaanstad,Dagdienst Noord,
000104514,Brandweer,Zaanstreek-Waterland,Zaanstad,Dagdienst Zuid,
000104515,Brandweer,Zaanstreek-Waterland,Zaanstad,piket Noord avond/nacht/weekend,
000104516,Brandweer,Zaanstreek-Waterland,Zaanstad,piket Zuid avond/nacht/weekend,
000104517,Brandweer,Zaanstreek-Waterland,Zaanstad,Lichtkrant,
000104520,Brandweer,Zaanstreek-Waterland,RBZW,Havendienst Zaanstad,
000104527,Brandweer,Zaanstreek-Waterland,RBZW,Monitor Waterland Zuid,
000104528,Brandweer,Zaanstreek-Waterland,RBZW,Monitor Waterland Noord,
000104529,Brandweer,Zaanstreek-Waterland,RBZW,Monitor Zaanstreek,
000104530,Brandweer,Zaanstreek-Waterland,RBZW,Commandant Zaanstad (persoonlijke code),
000104630,Brandweer,Zaanstreek-Waterland,RBZW,Sectorhoofd Alarmcentrale,
000104631,Brandweer,Zaanstreek-Waterland,RBZW,Teamchef alarmcentrale RBZW,
000104632,Brandweer,Zaanstreek-Waterland,RBZW,Sector Alarmcentrale piket ICT,
000104633,Brandweer,Zaanstreek-Waterland,RBZW,Sector Alarmcentrale piket C2000,
000104634,Brandweer,Zaanstreek-Waterland,RBZW,Piketcentralist RBZW,
000104635,Brandweer,Zaanstreek-Waterland,RBZW,Piketcentralist RBZW,
000104657,Brandweer,Zaanstreek-Waterland,RBZW,Sectorhoofd Algemene zaken,
000104667,Brandweer,Zaanstreek-Waterland,RBZW,Sectorhoofd Preparatie,
000104669,Brandweer,Zaanstreek-Waterland,,ROT - Journaalschrijvers,
000104683,Brandweer,Zaanstreek-Waterland,RBZW,Sectorhoofd Preventie,
000104710,Brandweer,Zaanstreek-Waterland,RBZW,Sectorhoofd Repressie,
000104711,Brandweer,Zaanstreek-Waterland,RBZW,Ademluchtdienst Zaanstad,
000104712,Brandweer,Zaanstreek-Waterland,Zaanstad,Technische dienst,
000104713,Brandweer,Zaanstreek-Waterland,Zaanstad,Coordinator technische dienst,
000104740,Brandweer,Zaanstreek-Waterland,Zaanstad,Bruggen algemeen,
000104741,Brandweer,Zaanstreek-Waterland,Zaandam,Den Uylbrug,
000104742,Brandweer,Zaanstreek-Waterland,Zaandam,Wilhelmina/Beatrixbrug,
000104743,Brandweer,Zaanstreek-Waterland,Zaandam,Bernhardbrug,
000104744,Brandweer,Zaanstreek-Waterland,Zaandam,Alexanderbrug,
000104745,Brandweer,Zaanstreek-Waterland,RBZW,Coenbrug A8,
000104746,Brandweer,Zaanstreek-Waterland,Zaandijk,Julianabrug,
000104747,Brandweer,Zaanstreek-Waterland,Wormer/Wormerveer,Zaanbrug,
000104748,Brandweer,Zaanstreek-Waterland,Wormer/Wormerveer,Clausbrug,
000104749,Brandweer,Zaanstreek-Waterland,West-Knollendam,Beatrixbrug N246,
000104750,Brandweer,Zaanstreek-Waterland,Krommenie,Vaartbrug,
000104751,Brandweer,Zaanstreek-Waterland,Krommenie,Provinciebrug thv Forbo Krommenie,
000104752,Brandweer,Zaanstreek-Waterland,Assendelft,Reint Laan Jr brug,
000104753,Brandweer,Zaanstreek-Waterland,Westzaan,Nauernasche brug,
000104754,Brandweer,Zaanstreek-Waterland,Edam,Brug,
000104755,Brandweer,Zaanstreek-Waterland,RBZW,Bruggen Waterland algemeen,
000104756,Brandweer,Zaanstreek-Waterland,Monnickendam,Hefbrug,
000104757,Brandweer,Zaanstreek-Waterland,Broek in Waterland,Brug N247,
000104758,Brandweer,Zaanstreek-Waterland,RBZW,Jan Blankenbrug,
000104759,Brandweer,Zaanstreek-Waterland,RBZW,Sluisbrug,
000104760,Brandweer,Zaanstreek-Waterland,RBZW,Beemsterbrug/Hoornsebrug,
000104761,Brandweer,Zaanstreek-Waterland,RBZW,Kooijmanbrug/Wheremolenbrug,
